iter	Passed	Remaining
667	2798	1390
668	2801	1386
669	2804	1381
670	2808	1377
671	2814	1373
672	2820	1370
673	2823	1365
674	2828	1361
675	2831	1357
676	2834	1352
677	2837	1347
678	2840	1342
679	2842	1337
680	2845	1333
681	2848	1328
682	2851	1323
683	2854	1318
684	2857	1313
685	2859	1309
686	2862	1304
687	2865	1299
688	2868	1294
689	2870	1289
690	2873	1285
691	2876	1280
692	2879	1275
693	2881	1270
694	2884	1265
695	2887	1261
696	2888	1255
697	2891	1250
698	2893	1246
699	2896	1241
700	2899	1236
701	2901	1231
702	2904	1227
703	2907	1222
704	2909	1217
705	2912	1212
706	2914	1208
707	2917	1203
708	2920	1198
709	2923	1193
710	2925	1189
711	2928	1184
712	2930	1179
713	2933	1175
714	2936	1170
715	2938	1165
716	2941	1160
717	2943	1156
718	2946	1151
719	2949	1146
720	2952	1142
721	2954	1137
722	2957	1132
723	2959	1128
724	2962	1123
725	2967	1119
726	2969	1115
727	2972	1110
728	2975	1105
729	2977	1101
730	2980	1096
731	2983	1092
732	2985	1087
733	2988	1082
734	2991	1078
735	2995	1074
736	2999	1070
737	3001	1065
738	3004	1061
739	3011	1058
740	3017	1054
741	3019	1050
742	3023	1045
743	3031	1042
744	3033	1038
745	3038	1034
746	3041	1030
747	3047	1026
748	3052	1023
749	3056	1018
750	3061	1015
751	3064	1010
752	3071	1007
753	3075	1003
754	3078	999
755	3085	995
756	3089	991
757	3092	987
758	3098	983
759	3101	979
760	3107	975
761	3112	972
762	3116	967
763	3121	964
764	3126	960
765	3129	955
766	3134	952
767	3137	947
768	3144	944
769	3150	941
770	3158	937
771	3162	934
772	3170	931
773	3173	926
774	3177	922
775	3184	919
776	3190	915
777	3193	911
778	3201	908
779	3204	903
780	3207	899
781	3213	895
782	3218	891
783	3221	887
784	3230	884
785	3233	880
786	3236	875
787	3243	872
788	3247	868
789	3250	864
790	3254	859
791	3260	856
792	3263	851
793	3267	847
794	3271	843
795	3276	839
796	3279	835
797	3286	832
798	3290	827
799	3293	823
800	3300	820
801	3305	816
802	3308	811
803	3314	807
804	3319	804
805	3323	800
806	3330	796
807	3334	792
808	3337	788
809	3345	784
810	3348	780
811	3351	775
812	3354	771
813	3357	767
814	3362	763
815	3369	759
816	3371	755
817	3378	751
818	3385	748
819	3388	743
820	3394	740
821	3400	736
822	3406	732
823	3408	728
824	3415	724
825	3418	720
826	3423	716
827	3430	712
828	3433	708
829	3438	704
830	3444	700
831	3446	695
832	3453	692
833	3459	688
834	3463	684
835	3468	680
836	3473	676
837	3476	671
838	3482	668
839	3487	664
840	3489	659
841	3495	655
842	3498	651
843	3504	647
844	3511	644
845	3515	639
846	3518	635
847	3524	631
848	3530	627
849	3534	623
850	3540	619
851	3542	615
852	3545	611
853	3549	606
854	3555	602
855	3562	599
856	3576	596
857	3582	592
858	3586	588
859	3590	584
860	3595	580
861	3598	576
862	3605	572
863	3609	568
864	3613	563
865	3616	559
866	3620	555
867	3628	551
868	3634	547
869	3639	543
870	3643	539
871	3649	535
872	3654	531
873	3658	527
874	3664	523
875	3667	519
876	3672	515
877	3678	511
878	3682	506
