,Date,PPSpotAvgPrice,OilAvgPrice,PPImport,PPExport,ExchangeRate,PPFuture,OilFuture
265,2014-01-26,,,,,6.1035,,4571
266,2014-02-02,,,,,6.105,,
267,2014-02-09,,,,,6.1089,,
268,2014-02-16,,,,,6.107,,4100
269,2014-02-23,,,,,6.1176,,4100
270,2014-03-02,,,,,6.1214,,4100
271,2014-03-09,,,,,6.1201,10164,3990
272,2014-03-16,,,,,6.1346,10163,4213
273,2014-03-23,,,,,6.1475,10247,3860
274,2014-03-30,,,,,6.149,10556,3841
275,2014-04-06,,,,,6.1557,10791,3941
276,2014-04-13,,,,,6.1495,,
277,2014-04-20,,,,,6.1575,10846,3621
278,2014-04-27,,,,,6.1576,10782,3614
279,2014-05-04,,,,,6.1579999999999995,,
280,2014-05-11,,,,,6.1581,10796,4023
281,2014-05-18,,,,,6.1628,10640,4023
282,2014-05-25,,,,,6.1681,10969,3824
283,2014-06-01,,,,,6.1695,10943,3715
284,2014-06-08,,,,,6.1623,,
285,2014-06-15,,,,,6.1503,11457,3738
286,2014-06-22,,,,,6.1524,11176,3700
287,2014-06-29,,,,,6.1543,10957,3700
288,2014-07-06,,,,,6.1642,11281,3749
289,2014-07-13,,,,,6.1469,,
290,2014-07-20,,,,,6.1568,11047,3385
291,2014-07-27,,,,,6.1597,11177,3547
292,2014-08-03,,,,,6.1681,10666,3453
293,2014-08-10,,,,,6.1562,10470,3453
294,2014-08-17,,,,,6.1538,10470,3029
295,2014-08-24,,,,,6.1617,10637,2633
296,2014-08-31,,,,,6.1647,10553,2929
297,2014-09-07,,,,,6.1707,10612,3124
298,2014-09-14,,,,,6.1468,,
299,2014-09-21,,,,,6.1455,10241,3000
300,2014-09-28,,,,,6.1508,10158,3000
301,2014-10-05,,,,,6.1525,,
302,2014-10-12,,,,,6.147,,
303,2014-10-19,,,,,6.1407,9626,3092
304,2014-10-26,,,,,6.1467,9749,3149
305,2014-11-02,,,,,6.1461,9970,3149
306,2014-11-09,,,,,6.1602,9942,3227
307,2014-11-16,,,,,6.1399,9735,3183
308,2014-11-23,,,,,6.1387,9709,3211
309,2014-11-30,,,,,6.1345,8549,3303
310,2014-12-07,,,,,6.1373,8145,3068
311,2014-12-14,,,,,6.1184,7694,3333
312,2014-12-21,,,,,6.1205,7746,3370
313,2014-12-28,,,,,6.1247,7798,3370
314,2015-01-04,,,,,6.119,,
315,2015-01-11,,,,,6.1296,7204,2979
316,2015-01-18,,,,,6.1188,7257,2937
317,2015-01-25,,,,,6.1342,7327,2930
318,2015-02-01,,,,,6.1370000000000005,7228,2869
319,2015-02-08,,,,,6.1261,7787,3266
320,2015-02-15,,,,,6.1288,8017,3317
321,2015-02-22,,,,,6.132999999999999,,
322,2015-03-01,,,,,6.1475,,
323,2015-03-08,,,,,6.1533,8196,3799
324,2015-03-15,,,,,6.1588,7997,3509
325,2015-03-22,,,,,6.1496,7879,3256
326,2015-03-29,,,,,6.1397,,
327,2015-04-05,,,,,6.1396,8275,3212
328,2015-04-12,,,,,6.1370000000000005,,
329,2015-04-19,,,,,6.1267,,
330,2015-04-26,,,,,6.1241,8705,3355
331,2015-05-03,,,,,6.1137,,
332,2015-05-10,,,,,6.1147,8605,3318
333,2015-05-17,,,,,6.1085,8479,3245
334,2015-05-24,,,,,6.1131,,
335,2015-05-31,,,,,6.1196,8327,3100
336,2015-06-07,,,,,6.1181,8459,3316
337,2015-06-14,,,,,6.1167,8611,3307
338,2015-06-21,,,,,6.1104,,
339,2015-06-28,,,,,6.1137,,
340,2015-07-05,,,,,6.1160000000000005,8600,2730
341,2015-07-12,,,,,6.1153,8373,2524
342,2015-07-19,,,,,6.1192,8110,2517
343,2015-07-26,,,,,6.1169,8080,2259
344,2015-08-02,,,,,6.1172,7895,2197
345,2015-08-09,,,,,6.1174,7505,2137
346,2015-08-16,,,,,6.3975,7934,2239
347,2015-08-23,,,,,6.3864,7653,2007
348,2015-08-30,,,,,6.3986,7665,1759
349,2015-09-06,,,,,6.3619,,
350,2015-09-13,,,,,6.3719,7625,2172
351,2015-09-20,,,,,6.3607,7363,2120
352,2015-09-27,,,,,6.3785,,
353,2015-10-04,,,,,6.3613,,
354,2015-10-11,,,,,6.3493,,
355,2015-10-18,,,,,6.3436,7176,2437
356,2015-10-25,,,,,6.3595,,
357,2015-11-01,,,,,6.3495,6868,2416
358,2015-11-08,,,,,6.3459,6651,2416
359,2015-11-15,,,,,6.3655,6353,2413
360,2015-11-22,,,,,6.377999999999999,6021,2413
361,2015-11-29,,,,,6.3915,5702,2449
362,2015-12-06,,,,,6.3851,,
363,2015-12-13,,,,,6.4358,5456,2454
364,2015-12-20,,,,,6.4814,,
365,2015-12-27,,,,,6.4713,,
366,2016-01-03,,,,,6.4936,,
367,2016-01-10,,,,,6.5636,5658,2452
368,2016-01-17,,,,,6.5637,5695,2483
369,2016-01-24,,,,,6.5572,,
370,2016-01-31,,,,,6.5516,6108,2571
371,2016-02-07,,,,,6.5314,,
372,2016-02-21,,,,,6.5186,6311,2500
373,2016-02-28,,,,,6.5338,6538,2497
374,2016-03-06,,,,,6.5284,7001,2266
375,2016-03-13,,,,,6.4905,,
376,2016-03-20,,,,,6.4628,7381,2110
377,2016-03-27,,,,,6.515,6878,2269
378,2016-04-03,,,,,6.4585,6994,2395
379,2016-04-10,,,,,6.4733,,
380,2016-04-17,,,,,6.4908,6848,2436
381,2016-04-24,,,,,6.4898,6800,2280
382,2016-05-01,,,,,6.4589,6955,2184
383,2016-05-08,,,,,6.5202,,
384,2016-05-15,,,,,6.5246,6733,2340
385,2016-05-22,,,,,6.551,6563,2561
386,2016-05-29,,,,,6.5489999999999995,6411,2549
387,2016-06-05,,,,,6.5793,6722,2598
388,2016-06-12,,,,,6.5593,,
389,2016-06-19,,,,,6.5795,6942,2486
390,2016-06-26,,,,,6.5776,7414,2594
391,2016-07-03,,,,,6.6496,7980,2632
392,2016-07-10,,,,,6.6853,8079,2669
393,2016-07-17,,,,,6.6805,8172,2688
394,2016-07-24,,,,,6.6669,8167,2617
395,2016-07-31,,,,,6.6511,8231,
396,2016-08-07,,,,,6.6406,8298,2632
397,2016-08-14,,,,,6.6543,7397,2632
398,2016-08-21,,,,,6.6211,7553,2634
399,2016-08-28,,,,,6.6488,7465,2610
400,2016-09-04,,,,,6.6727,7203,2625
401,2016-09-11,,,,,6.6684,7237,2719
402,2016-09-18,,,,,6.6895,,
403,2016-09-25,,,,,6.667000000000001,7077,2626
404,2016-10-02,,,,,6.6778,7299,2675
405,2016-10-16,,,,,6.7157,7515,2675
406,2016-10-23,,,,,6.7558,7833,2675
407,2016-10-30,,,,,6.7858,8318,2667
